ngramme	nfeatures	precision	test_time
1	3000	75.99	1.34
1	6000	76.32	1.35
1	9000	76.82	1.31
1	12000	76.32	1.44
1	15000	76.32	1.48
1	18000	76.32	1.47
1	21000	76.32	1.42
1	24000	76.32	1.41
1	27000	76.32	1.44
1	30000	76.32	1.34
2	3000	76.32	2.21
2	6000	77.48	2.31
2	9000	77.15	2.39
2	12000	76.49	2.61
2	15000	76.16	2.80
2	18000	76.32	3.07
2	21000	76.16	2.87
2	24000	75.83	2.88
2	27000	76.16	2.67
2	30000	76.16	2.78
3	3000	76.49	3.36
3	6000	76.66	3.56
3	9000	76.49	3.58
3	12000	77.32	3.71
3	15000	77.15	3.80
3	18000	76.32	3.80
3	21000	75.99	3.83
3	24000	75.66	3.83
3	27000	75.66	3.89
3	30000	75.83	3.94
