ngramme	nfeatures	precision	test_time
1	3000	75.83	1.07
1	6000	75.33	0.99
1	9000	75.83	1.09
1	12000	75.50	1.06
1	15000	75.50	1.07
1	18000	75.50	1.08
1	21000	75.50	1.07
1	24000	75.50	1.09
1	27000	75.50	1.07
1	30000	75.50	1.18
2	3000	74.83	1.59
2	6000	75.33	1.60
2	9000	75.83	1.67
2	12000	75.33	1.59
2	15000	75.66	1.65
2	18000	75.50	1.64
2	21000	75.50	1.66
2	24000	75.50	1.67
2	27000	75.50	1.70
2	30000	75.99	1.71
3	3000	74.67	2.15
3	6000	75.66	2.18
3	9000	75.99	2.22
3	12000	75.66	2.37
3	15000	75.50	2.37
3	18000	75.33	2.24
3	21000	75.17	2.35
3	24000	75.17	2.41
3	27000	75.17	2.44
3	30000	74.83	2.44
