ngramme	nfeatures	precision	test_time
1	3000	77.15	1.57
1	6000	76.66	1.70
1	9000	76.82	1.96
1	12000	76.32	1.95
1	15000	76.32	1.70
1	18000	76.32	1.95
1	21000	76.32	1.52
1	24000	76.32	1.46
1	27000	76.32	1.40
1	30000	76.32	1.40
2	3000	76.99	2.57
2	6000	77.15	2.74
2	9000	77.65	2.46
2	12000	77.48	2.60
2	15000	77.15	2.64
2	18000	77.48	2.72
2	21000	76.82	2.77
2	24000	76.99	2.62
2	27000	76.82	3.07
2	30000	76.66	2.79
3	3000	77.15	3.53
3	6000	77.15	3.78
3	9000	77.15	3.65
3	12000	77.15	3.96
3	15000	76.82	3.97
3	18000	76.99	3.68
3	21000	76.82	4.13
3	24000	76.49	4.23
3	27000	76.32	3.85
3	30000	76.16	3.81
