ngramme	nfeatures	precision	test_time
1	3000	75.00	1.41
1	6000	75.33	1.42
1	9000	75.17	1.56
1	12000	75.17	1.53
1	15000	75.17	1.55
1	18000	75.17	1.61
1	21000	75.17	1.62
1	24000	75.17	1.74
1	27000	75.17	1.67
1	30000	75.17	1.58
2	3000	75.00	1.94
2	6000	75.33	2.37
2	9000	74.83	2.32
2	12000	74.67	2.38
2	15000	75.00	2.58
2	18000	75.50	2.64
2	21000	75.50	2.60
2	24000	75.33	2.76
2	27000	75.50	2.89
2	30000	75.50	2.89
3	3000	75.17	2.77
3	6000	75.00	2.88
3	9000	75.33	2.93
3	12000	74.67	3.04
3	15000	75.17	3.19
3	18000	75.83	3.61
3	21000	75.66	3.81
3	24000	75.66	3.73
3	27000	75.66	4.05
3	30000	75.83	4.17
