ngramme	nfeatures	precision	test_time
1	3000	77.15	2.42
1	6000	76.82	2.75
1	9000	76.99	2.74
1	12000	76.99	2.78
1	15000	76.99	3.00
1	18000	76.99	2.95
1	21000	76.99	2.98
1	24000	76.99	2.95
1	27000	76.99	2.99
1	30000	76.99	3.02
2	3000	79.64	4.31
2	6000	80.13	4.82
2	9000	79.30	6.07
2	12000	79.30	6.15
2	15000	79.64	6.31
2	18000	79.97	7.48
2	21000	80.46	7.34
2	24000	80.30	8.02
2	27000	80.30	7.58
2	30000	80.46	8.30
3	3000	79.64	5.37
3	6000	79.14	6.11
3	9000	80.13	7.18
3	12000	80.13	7.55
3	15000	78.97	8.57
3	18000	78.64	8.11
3	21000	78.97	8.28
3	24000	78.81	8.75
3	27000	79.47	8.60
3	30000	79.80	9.37
