ngramme	nfeatures	precision	test_time
1	3000	75.17	0.95
1	6000	75.00	1.02
1	9000	75.17	1.12
1	12000	75.17	1.10
1	15000	75.17	1.10
1	18000	75.17	1.14
1	21000	75.17	1.17
1	24000	75.17	1.14
1	27000	75.17	1.19
1	30000	75.17	1.36
2	3000	75.50	1.68
2	6000	75.00	1.64
2	9000	75.00	1.77
2	12000	74.83	1.91
2	15000	74.83	1.78
2	18000	75.33	1.69
2	21000	75.17	1.66
2	24000	75.00	1.70
2	27000	75.17	1.73
2	30000	75.00	1.75
3	3000	75.99	2.49
3	6000	75.00	2.54
3	9000	75.66	2.85
3	12000	75.33	2.33
3	15000	75.50	2.53
3	18000	75.50	2.66
3	21000	75.66	2.60
3	24000	75.33	2.49
3	27000	75.33	2.51
3	30000	75.17	2.67
